Ad_link,location,house_type,sqft,bedrooms,bathrooms,furnishing,constr_info,floor_no,facing,price
https://www.olx.in/item/house-at-ernakulam-puthiyakavu-iid-1677419289,"Puthiyakavu, Kochi, Kerala",['Houses & Villas'],['1550'],['4'],['4'],['Furnished'],['Ready to Move'],['1'],['East'],"₹ 60,00,000"
https://www.olx.in/item/chathamkulam-kadambari-apartments-iid-1669663380,"Peelamedu, Coimbatore, Tamil Nadu",['Apartments'],['784'],['2'],['2'],['Unfurnished'],['Under Construction'],['2'],['North-East'],"₹ 45,00,000"
https://www.olx.in/item/jda-2-bhk-flat-new-kirni-patak-kalwar-road-iid-1673357134,"Vaishali Nagar, Jaipur, Rajasthan",['Apartments'],['900'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],['1'],['East'],"₹ 20,94,567"
https://www.olx.in/item/2bhk-flat-2-flat-kalwar-road-iid-1672224666,"Kalwar Road, Jaipur, Rajasthan",['Apartments'],['900'],['2'],,['Semi-Furnished'],,['1'],['East'],"₹ 20,99,658"
https://www.olx.in/item/3bhk-flat-30lac-kalwar-road-iid-1670773561,"Kalwar Road, Jaipur, Rajasthan",['Apartments'],['1200'],['3'],['2'],['Semi-Furnished'],['New Launch'],['1'],['East'],"₹ 29,99,963"
https://www.olx.in/item/very-close-to-college-road-2bhk-independent-house-for-sale-iid-1681245224,"Subbiah Colony, Tiruppur, Tamil Nadu",['Houses & Villas'],['1432'],['2'],['2'],['Unfurnished'],['Under Construction'],,['North'],"₹ 75,00,000"
https://www.olx.in/item/beautiful-villa-in-bagalur-hosur-iid-1675342273,"Hosur - Bagalur Road, Hosur, Tamil Nadu",['Houses & Villas'],['1400'],['2'],['2'],['Unfurnished'],['Under Construction'],['1'],['West'],"₹ 72,46,000"
https://www.olx.in/item/affordable-villa-plots-available-in-mathigiri-hosur-iid-1674812719,"Nagondapalli, Mathigiri, Tamil Nadu",['Houses & Villas'],['950'],['2'],['2'],['Unfurnished'],['New Launch'],['0'],['South'],"₹ 33,00,000"
https://www.olx.in/item/luxurious-independent-villa-at-padamugal-iid-1681813331,"Padamugal, Kochi, Kerala",['Houses & Villas'],['2900'],['4'],['4'],['Semi-Furnished'],['Ready to Move'],,['North'],"₹ 2,15,00,000"
https://www.olx.in/item/premium-ultra-luxury-flats-available-for-sale-in-siddhart-vihar-gzb-iid-1683985471,"Siddartha Vihar, Ghaziabad, Uttar Pradesh",['Apartments'],['2390'],['3'],['3'],['Semi-Furnished'],['New Launch'],['7'],['North-East'],"₹ 99,99,999"
https://www.olx.in/item/2bhk-flat-for-sale-in-shilphata-iid-1682962982,"Shilphata Road, Thane, Maharashtra",['Apartments'],['1150'],['2'],['2'],['Unfurnished'],['Under Construction'],['20'],['East'],"₹ 70,00,000"
https://www.olx.in/item/91-gaj-jda-approved-villa-at-kalwar-road-at-prime-location-fullduplex-iid-1682539405,"Kalwar Road, Jaipur, Rajasthan",['Houses & Villas'],['1738'],['4'],['3'],['Semi-Furnished'],['Ready to Move'],,['West'],"₹ 39,00,000"
https://www.olx.in/item/1350sqft-house-santhipuram-iid-1685512072,"Sreekaryam, Thiruvananthapuram, Kerala",['Houses & Villas'],['1350'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],,,"₹ 45,00,000"
https://www.olx.in/item/4-bhk-flat-for-sale-royal-apartments-sector-sigma-4-greater-noida-iid-1685165582,"Sigma IV, Greater Noida, Uttar Pradesh",['Apartments'],['2398'],['4'],['4'],['Unfurnished'],['Ready to Move'],['0'],,"₹ 80,00,000"
https://www.olx.in/item/3bhk-flat-sale-dabhoi-waghodia-road-vadodara-rs-3051l-iid-1680257494,"Dabhoi Waghodia Ring Road, Vadodara, Gujarat",['Apartments'],['00'],['3'],['3'],['Unfurnished'],['Under Construction'],['7'],['East'],"₹ 30,51,000"
https://www.olx.in/item/luxurious-3-bhk-flat-for-sale-waghodia-road-vadodara-rs3051lacs-iid-1680251930,"Tarsali, Vadodara, Gujarat",['Apartments'],['00'],['3'],['3'],['Unfurnished'],['Under Construction'],['7'],['East'],"₹ 30,51,000"
https://www.olx.in/item/2bhk-spacious-flat-nr-nilamber-circle-vadodara-rs-35lacs-iid-1680250348,"Nilamber Circle, Vadodara, Gujarat",['Apartments'],['00'],['2'],['2'],['Unfurnished'],['Ready to Move'],['1'],['West'],"₹ 35,00,000"
https://www.olx.in/item/just-2km-from-waghodia-d-mart-3bhk-new-flat-for-sale-rs3051lacs-iid-1680249992,"Waghodia Road, Vadodara, Gujarat",['Apartments'],['00'],['3'],['3'],['Unfurnished'],['Under Construction'],['7'],['East'],"₹ 30,51,000"
https://www.olx.in/item/new-launch-house-njandoorkonam-iid-1644148096,"Sreekaryam, Thiruvananthapuram, Kerala",['Houses & Villas'],['1700'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],['2'],['East'],"₹ 66,00,000"
https://www.olx.in/item/16-minutes-drive-from-thrissur-town-5-cent-house-for-sale-iid-1684550847,"Viyyur, Thrissur, Kerala",['Houses & Villas'],['1500'],['3'],['3'],['Unfurnished'],['Under Construction'],,['East'],"₹ 42,50,000"
